"Session ID","Session Date",Question,"Class Meeting Started","Class Meeting Ended","Class Name","Key Stage","No. Groups","Class Meeting Leader","Class Meeting Note Taker","Question Option 1","Question Option 2","Question Option 3","Question Option 4","Question Option 5","Question Option 1 Votes","Question Option 2 Votes","Question Option 3 Votes","Question Option 4 Votes","Question Option 5 Votes","Idea 1"
2997,23/11/2020,"Who is your 2020 hero and why?","2020-11-30 12:50:08","2020-11-30 13:30:51",Bats,KS1,5,izzy,Rufus,"Marcus Rashford","Boris Johnson","Refuse Collectors","Doctors and Nurses",Teachers,2,0,0,3,0
2997,23/11/2020,"Who is your 2020 hero and why?","2020-11-25 14:45:58","2020-11-25 15:11:18",Badgers,KS2-6,4,Olivia,George,"Marcus Rashford","Boris Johnson","Refuse Collectors","Doctors and Nurses",Teachers,0,0,0,4,0,"Badgers: Children will bring in socks and gloves to give to the homeless.  "
